price,bedrooms,bathrooms,m2_living,m2_lot,floors,waterfront,condition,grade,m2_basement,yr_built,yr_renovated,zip,lat,long
675000,4,3.5,197,210,3.0,0,3,9,0,2005,0,98107,47.6734,-122.38
382500,2,1.0,109,408,1.0,0,3,6,0,1981,0,98125,47.7135,-122.287
519950,3,2.25,108,115,3.0,0,3,8,0,2014,0,98107,47.6722,-122.381
665000,2,1.0,102,294,1.0,0,3,7,0,1925,0,98119,47.6338,-122.35799999999999
420000,3,1.0,98,745,1.0,0,4,7,11,1923,0,98133,47.7144,-122.351
890000,4,1.0,235,368,2.0,0,3,8,17,1905,0,98109,47.6354,-122.353
511000,3,1.0,132,318,1.0,0,3,7,41,1947,0,98103,47.6873,-122.336
532170,3,2.0,125,284,2.0,0,3,8,0,1990,0,98103,47.6838,-122.353
560000,3,1.0,102,460,1.5,0,3,7,0,1947,0,98107,47.655,-122.359
350000,1,1.0,64,469,1.0,0,3,7,0,1942,0,98115,47.678999999999995,-122.3
255000,5,2.25,190,794,1.0,0,3,7,95,1962,0,98146,47.4877,-122.335
371500,3,2.0,126,767,1.0,0,5,7,0,1964,0,98133,47.7458,-122.331
313000,3,1.5,123,728,1.5,0,3,7,0,1955,0,98133,47.7658,-122.339
425000,3,2.5,103,101,2.0,0,3,8,28,2008,0,98122,47.6106,-122.31
399950,5,2.75,181,497,1.0,0,3,7,60,1986,0,98144,47.5868,-122.30799999999999
385000,3,1.0,112,442,1.0,0,3,6,0,1901,0,98122,47.6101,-122.307
330000,2,1.0,124,756,1.0,0,3,7,27,1949,0,98177,47.7224,-122.35799999999999
470000,4,3.0,219,472,1.5,0,4,7,64,1925,0,98126,47.5384,-122.376
615000,4,1.0,122,221,1.5,0,4,6,0,1901,0,98103,47.65,-122.34
400000,3,2.5,201,691,1.0,0,4,7,70,1962,0,98133,47.7606,-122.336
230000,3,1.0,98,941,1.0,0,3,7,0,1948,0,98155,47.7481,-122.3
423000,4,2.0,181,596,1.5,0,5,7,77,1920,0,98108,47.5511,-122.31200000000001
465000,3,2.5,198,376,2.0,0,3,8,0,2007,0,98126,47.5488,-122.37200000000001
470000,3,1.0,93,460,1.0,0,3,7,0,1952,0,98107,47.675,-122.39399999999999
425000,3,1.0,93,539,1.0,0,3,7,0,1915,0,98116,47.5733,-122.381
464000,6,3.0,212,313,2.0,0,3,7,64,1920,1994,98133,47.7067,-122.34299999999999
625504,3,2.25,117,144,2.0,0,3,8,19,2014,0,98105,47.6647,-122.28399999999999
477000,4,2.75,158,577,2.0,0,3,8,0,1978,0,98118,47.5458,-122.26799999999999
445838,3,2.5,207,524,2.0,0,3,8,0,2000,0,98146,47.5133,-122.37899999999999
1072000,2,2.25,359,1367,1.0,0,3,8,179,1947,0,98144,47.5884,-122.291
467000,2,1.5,121,994,1.0,0,4,8,0,1947,0,98177,47.7145,-122.367
390000,3,2.25,115,690,1.0,0,5,7,0,1942,0,98146,47.5123,-122.37299999999999
475000,3,1.5,228,486,1.5,0,5,7,79,1947,0,98108,47.5575,-122.303
410000,4,1.0,181,436,1.5,0,3,7,28,1904,2005,98122,47.6136,-122.303
210000,2,1.0,76,552,1.0,0,3,6,0,1940,0,98126,47.5308,-122.376
455000,2,1.0,132,460,1.5,0,2,7,0,1925,0,98115,47.6727,-122.29899999999999
480000,2,1.0,95,282,1.0,0,4,7,22,1918,0,98103,47.6779,-122.353
181000,2,1.5,66,471,1.0,0,3,6,0,1954,0,98106,47.5218,-122.35700000000001
481000,3,1.75,144,276,1.0,0,4,6,73,1918,0,98103,47.6846,-122.345
349500,3,1.0,129,325,1.0,0,3,7,55,1953,0,98118,47.5405,-122.27
592500,2,2.0,131,846,1.5,0,5,7,0,1928,0,98115,47.6979,-122.32
385000,4,1.75,217,701,1.0,0,4,7,109,1955,0,98106,47.5278,-122.345
780000,3,1.0,153,405,1.5,0,3,8,18,1911,0,98112,47.6362,-122.302
425000,2,1.0,71,464,1.0,0,3,5,0,1930,0,98144,47.5964,-122.29899999999999
285000,3,1.0,103,984,1.0,0,3,7,0,1954,0,98106,47.5544,-122.35799999999999
415000,2,1.0,98,414,1.0,0,3,7,0,1937,0,98115,47.6802,-122.29
436000,2,1.0,96,693,1.0,0,4,7,0,1939,0,98133,47.7107,-122.352
236000,3,1.0,120,543,1.0,0,3,7,0,1961,0,98178,47.5053,-122.255
331000,3,1.75,99,120,1.0,0,3,7,46,1954,2003,98199,47.6601,-122.4
405000,3,1.75,220,552,1.0,0,3,6,106,1908,0,98118,47.5362,-122.26799999999999
170000,2,1.0,79,484,1.0,0,3,6,0,1931,0,98178,47.5048,-122.272
2050000,5,3.0,352,780,2.0,0,5,9,110,1905,1994,98122,47.6166,-122.287
550000,3,2.0,181,383,2.0,0,5,8,64,1929,0,98126,47.5717,-122.375
404000,3,1.5,187,817,1.0,0,3,7,64,1963,0,98108,47.5586,-122.311
576000,3,2.5,178,828,1.0,0,4,7,89,1948,0,98117,47.6933,-122.39299999999999
725000,3,1.75,177,304,1.0,0,4,8,88,1913,0,98112,47.6239,-122.29799999999999
550000,4,2.75,166,713,1.0,0,4,8,37,1965,0,98177,47.7776,-122.384
550700,2,1.0,93,460,1.5,0,4,6,0,1908,0,98105,47.6692,-122.29700000000001
834000,4,2.5,218,368,1.5,0,5,8,36,1928,0,98144,47.601000000000006,-122.294
2384000,5,2.5,336,833,2.0,0,5,10,26,1921,0,98119,47.6345,-122.367
487000,3,2.0,238,1293,1.0,0,5,8,80,1948,0,98133,47.7357,-122.333
548000,2,1.0,135,355,1.0,0,4,7,28,1916,0,98103,47.6638,-122.345
232000,2,1.0,114,1112,1.0,0,3,6,26,1922,1984,98146,47.4957,-122.352
240500,2,1.0,114,1112,1.0,0,3,6,26,1922,1984,98146,47.4957,-122.352
740000,4,2.0,189,405,1.5,0,4,9,0,1922,0,98102,47.644,-122.319
880000,4,3.5,258,621,2.0,0,3,9,84,1951,2002,98105,47.669,-122.275
640000,2,1.0,98,460,1.0,0,3,7,0,1924,0,98103,47.6666,-122.331
791500,4,2.0,139,322,1.5,0,5,7,0,1911,0,98103,47.6794,-122.35700000000001
265000,3,1.75,131,759,1.0,0,3,7,0,1954,0,98133,47.7535,-122.354
245000,3,1.75,160,1062,1.0,0,3,7,0,1954,0,98178,47.4945,-122.22
425000,3,1.75,230,629,1.0,0,3,8,110,1957,0,98125,47.7222,-122.32
165000,4,1.0,92,656,1.0,0,3,6,0,1943,0,98178,47.4897,-122.24
239900,4,1.0,92,656,1.0,0,3,6,0,1943,0,98178,47.4897,-122.24
387000,4,1.75,230,707,1.0,0,3,7,115,1973,0,98155,47.7713,-122.307
437500,2,1.0,91,287,1.0,0,5,7,18,1907,0,98103,47.68,-122.353
375000,4,1.75,202,688,1.0,0,5,7,101,1955,0,98118,47.543,-122.28
679900,3,2.5,224,529,2.0,0,3,9,42,2000,0,98116,47.565,-122.381
315000,4,2.25,201,989,1.0,0,5,7,99,1954,0,98133,47.7711,-122.34100000000001
530000,4,2.25,201,989,1.0,0,5,7,99,1954,0,98133,47.7711,-122.34100000000001
450000,3,1.75,151,1242,1.0,0,3,7,49,1940,0,98125,47.7164,-122.304
595000,4,2.0,186,262,2.0,0,3,7,0,1960,0,98115,47.6831,-122.329
435000,3,1.5,120,308,1.5,0,3,7,0,1904,2014,98144,47.592,-122.307
403950,4,2.5,195,1268,2.0,0,3,8,0,1993,0,98146,47.4987,-122.365
385000,4,1.5,188,987,1.0,0,3,7,61,1954,0,98177,47.772,-122.35799999999999
345000,4,1.0,143,701,1.5,0,3,7,0,1957,0,98106,47.5287,-122.35
378750,3,2.5,199,276,1.5,0,3,7,83,1909,2011,98118,47.5644,-122.289
557000,3,3.5,157,193,2.0,0,3,8,39,2008,0,98122,47.6055,-122.305
352000,2,1.0,86,460,1.0,0,4,7,0,1937,0,98117,47.6879,-122.385
650000,3,3.25,139,184,2.0,0,3,9,17,2001,0,98116,47.5815,-122.402
450000,3,2.0,119,112,3.0,0,3,8,0,2001,0,98103,47.6609,-122.344
339000,4,1.5,220,688,1.5,0,3,7,0,1920,0,98178,47.504,-122.227
423000,4,2.25,202,860,1.0,0,5,7,84,1962,0,98133,47.7448,-122.333
482000,2,1.0,87,364,1.0,0,3,7,0,1941,0,98103,47.6885,-122.337
375000,2,1.0,86,471,1.0,0,3,7,0,1909,0,98122,47.6073,-122.30799999999999
1000000,4,2.5,240,301,1.5,0,5,8,63,1922,0,98103,47.6636,-122.33
438000,2,2.0,117,126,3.0,0,3,8,0,2000,0,98115,47.6776,-122.318
578000,3,1.75,195,1000,1.0,0,3,8,53,1977,0,98146,47.504,-122.382
641000,2,1.0,131,491,1.0,0,3,8,32,1953,0,98105,47.6694,-122.275
330000,3,1.0,90,644,1.0,0,3,6,0,1953,0,98133,47.7617,-122.35700000000001
465000,3,1.75,136,585,1.0,0,3,7,0,1954,0,98133,47.7311,-122.353
290900,2,2.0,148,1619,2.0,0,3,6,0,1930,1983,98178,47.4855,-122.266
1199000,4,2.75,378,773,2.0,0,3,9,90,1928,2013,98125,47.717,-122.281
460000,3,2.5,148,232,2.0,0,3,9,49,2005,0,98118,47.5674,-122.29
438924,3,1.5,97,422,1.0,0,3,7,18,1949,0,98115,47.6943,-122.29
315000,2,1.0,58,603,1.0,0,3,5,0,1918,0,98126,47.5486,-122.38
525000,3,1.5,124,552,1.0,0,3,7,41,1950,0,98136,47.5275,-122.391
207950,2,2.0,82,460,1.0,0,3,6,0,1917,0,98118,47.5158,-122.264
490000,2,2.5,113,128,2.0,0,3,8,33,2004,0,98112,47.6192,-122.301
725000,4,2.0,194,381,2.0,0,3,9,37,1925,2003,98116,47.5836,-122.387
625000,2,1.5,137,529,1.5,0,4,7,28,1900,0,98116,47.5872,-122.39
475000,2,1.0,137,352,1.0,0,3,7,58,1929,0,98117,47.6799,-122.381
529000,3,1.0,111,306,1.5,0,4,7,0,1924,0,98107,47.6729,-122.363
442000,3,1.0,109,469,1.0,0,4,7,15,1941,0,98136,47.5346,-122.385
615000,2,1.0,142,632,1.0,0,4,7,66,1946,0,98119,47.6454,-122.37299999999999
290000,4,1.0,122,753,1.5,0,3,7,0,1949,0,98133,47.7343,-122.34700000000001
615000,3,1.75,175,460,1.0,0,5,7,87,1951,0,98116,47.5789,-122.39299999999999
300000,2,1.0,101,707,1.0,0,4,7,0,1950,0,98133,47.7439,-122.339
2250000,4,2.25,438,739,2.5,0,5,9,126,1916,0,98112,47.6415,-122.285
190000,2,1.0,58,552,1.0,0,3,6,0,1943,2005,98178,47.4973,-122.221
515000,5,3.0,233,470,1.0,0,3,8,93,2005,0,98133,47.7546,-122.34100000000001
275000,2,1.0,86,460,1.0,0,3,6,0,1951,0,98126,47.5186,-122.374
365000,4,1.0,146,652,1.5,0,3,6,0,1944,0,98125,47.7315,-122.305
595000,2,2.0,139,368,1.0,0,4,7,46,1900,0,98103,47.6582,-122.345
259950,2,2.0,98,60,2.0,0,3,9,32,2008,0,98106,47.5213,-122.35700000000001
1450000,3,3.0,403,581,2.0,0,5,10,74,1952,0,98199,47.6452,-122.411
451000,3,1.75,165,903,2.0,0,3,7,0,1949,0,98155,47.748999999999995,-122.305
880000,3,2.5,264,475,2.0,0,3,9,0,2014,0,98103,47.6935,-122.352
260000,3,1.0,109,492,1.5,0,4,6,0,1959,0,98178,47.505,-122.259
671500,5,2.75,199,368,1.5,0,5,7,58,1927,0,98105,47.667,-122.289
610000,3,1.0,109,313,1.5,0,3,8,0,1907,0,98109,47.6376,-122.353
442000,5,3.0,236,501,1.5,0,4,7,74,1927,0,98108,47.5502,-122.311
650000,5,2.75,235,464,1.5,0,5,8,0,1902,0,98122,47.6136,-122.29899999999999
730000,2,2.25,196,453,1.5,0,4,7,55,1941,0,98116,47.573,-122.40899999999999
640000,3,2.5,199,368,1.5,0,3,8,18,1903,2013,98122,47.6045,-122.307
685000,3,2.0,190,267,1.5,0,5,8,67,1931,0,98144,47.5897,-122.292
360000,4,2.5,169,884,2.0,0,3,7,0,1996,0,98178,47.4964,-122.251
372500,2,2.5,129,272,2.0,0,3,8,0,2007,0,98126,47.5496,-122.37299999999999
531000,2,3.0,117,108,2.0,0,3,8,15,2000,0,98103,47.6634,-122.34
443500,2,1.0,86,626,1.0,0,3,7,0,1949,0,98177,47.7047,-122.37299999999999
340000,2,2.5,101,162,3.0,0,3,7,0,1997,0,98103,47.6972,-122.35
650000,3,2.0,172,312,1.0,0,4,8,59,1925,0,98199,47.6372,-122.395
425000,3,2.25,167,811,1.0,0,3,7,50,1967,0,98125,47.7162,-122.309
577000,3,2.5,190,529,1.0,0,3,7,67,1976,0,98116,47.5671,-122.391
605000,2,1.75,162,460,1.0,0,4,7,75,1927,0,98117,47.681999999999995,-122.37200000000001
325000,3,1.0,91,621,1.0,0,4,6,0,1947,0,98133,47.7125,-122.331
289500,3,1.0,88,589,1.0,0,4,6,13,1944,0,98178,47.496,-122.23899999999999
559950,3,2.5,153,134,3.0,0,3,9,0,2014,0,98144,47.5876,-122.309
1042500,3,1.75,175,862,1.0,0,4,8,52,1941,0,98115,47.6821,-122.273
543500,3,2.25,117,257,1.0,0,3,7,26,1970,0,98199,47.6581,-122.396
565000,2,1.75,122,552,1.0,0,4,7,34,1914,1945,98199,47.6539,-122.396
542000,2,1.0,82,282,1.0,0,3,7,11,1910,0,98105,47.6663,-122.32600000000001
1120000,3,1.5,276,529,2.0,0,5,9,92,1924,0,98116,47.5821,-122.39
378000,2,2.0,120,354,1.0,0,3,7,46,1963,0,98136,47.5395,-122.39
729500,3,2.5,153,100,3.0,0,3,9,12,2015,0,98116,47.5818,-122.402
545000,3,1.75,155,570,1.5,0,3,7,0,1916,0,98136,47.5338,-122.384
530000,3,1.75,121,230,1.0,0,3,7,41,1918,0,98105,47.6681,-122.305
425000,4,1.0,116,703,1.5,0,3,6,0,1925,0,98146,47.5044,-122.35
325000,3,1.0,177,631,1.0,0,3,7,74,1952,0,98118,47.5193,-122.274
597500,3,2.0,198,497,1.5,0,4,7,71,1911,0,98126,47.555,-122.37899999999999
495000,3,1.0,91,552,1.0,0,3,6,0,1943,0,98105,47.6718,-122.26700000000001
475000,3,2.5,151,469,2.0,0,3,7,0,1969,0,98155,47.7522,-122.27799999999999
312000,3,1.5,115,126,3.0,0,3,7,0,2004,0,98125,47.7145,-122.311
306000,3,1.5,112,100,3.0,0,3,8,0,2007,0,98133,47.7049,-122.353
655000,4,2.5,242,368,3.0,0,3,8,0,2002,0,98117,47.6915,-122.381
1250000,4,3.25,291,460,2.0,0,5,9,74,1965,0,98105,47.6597,-122.274
460000,3,1.75,143,433,1.0,0,4,7,63,1949,0,98115,47.6759,-122.286
435000,4,2.5,156,587,1.0,0,4,7,78,1940,0,98115,47.6988,-122.319
865000,4,1.75,166,385,2.0,0,4,8,0,1921,0,98102,47.6462,-122.318
188000,2,1.5,103,1609,1.0,0,3,6,0,1924,0,98178,47.5024,-122.271
478500,3,1.0,192,437,1.0,0,3,8,82,1969,0,98136,47.5304,-122.387
413000,4,3.5,219,534,2.0,0,4,7,58,1995,0,98106,47.5536,-122.359
400000,4,1.0,131,448,1.5,0,3,7,0,1930,0,98115,47.6942,-122.321
387500,3,1.0,112,766,1.0,0,3,6,0,1946,0,98115,47.6982,-122.29799999999999
410000,2,1.0,74,399,1.0,0,3,6,12,1927,0,98115,47.6997,-122.316
795000,2,1.0,127,460,1.5,0,3,5,0,1905,0,98106,47.5708,-122.359
195000,2,1.0,75,469,1.0,0,3,6,0,1953,0,98118,47.5156,-122.262
485000,4,2.0,129,331,1.0,0,3,7,28,1900,0,98119,47.6385,-122.37
550000,4,1.75,228,1360,1.0,0,3,8,94,1958,0,98155,47.7646,-122.271
405500,3,1.5,93,746,1.0,0,5,7,0,1954,0,98155,47.7359,-122.309
452000,6,2.25,245,1249,2.0,0,3,7,0,1937,1990,98125,47.7142,-122.286
730000,6,2.25,245,1249,2.0,0,3,7,0,1937,1990,98125,47.7142,-122.286
565000,2,1.0,88,375,1.0,0,5,7,0,1911,0,98103,47.6893,-122.34899999999999
350000,5,3.0,232,506,1.0,0,3,8,89,2004,0,98178,47.4938,-122.255
245000,2,1.0,97,543,1.0,0,3,7,0,1950,0,98126,47.5326,-122.376
550000,3,2.0,219,1651,2.0,0,4,8,25,1934,0,98155,47.7591,-122.28
588000,3,1.0,176,751,1.0,0,4,8,59,1951,0,98117,47.7004,-122.368
1300000,3,3.25,313,550,2.0,0,4,9,102,1937,0,98105,47.6585,-122.273
459000,2,1.75,108,450,1.0,0,3,6,14,1929,0,98117,47.695,-122.366
395000,3,1.0,138,368,1.0,0,3,6,55,1925,0,98117,47.6921,-122.38
650000,4,1.75,185,466,1.0,0,4,7,65,1963,0,98116,47.5793,-122.402
517500,3,1.5,132,478,1.0,0,4,7,17,1940,0,98117,47.6988,-122.387
329999,3,1.0,106,636,1.0,0,3,6,32,1952,0,98155,47.7447,-122.31299999999999
950000,3,1.75,198,386,1.0,0,5,8,93,1960,0,98116,47.5671,-122.405
447000,3,1.0,126,552,1.0,0,5,7,13,1944,0,98108,47.5646,-122.31700000000001
850000,3,1.75,126,354,1.0,0,5,7,55,1911,1988,98112,47.6374,-122.279
1310000,2,2.25,363,362,2.0,0,3,10,96,1991,0,98116,47.5912,-122.384
405600,5,1.5,260,368,2.5,0,4,8,0,1918,0,98118,47.5132,-122.262
400000,3,2.25,109,106,2.0,0,3,8,13,2008,0,98116,47.5818,-122.387
760000,4,2.5,224,561,1.0,0,5,8,88,1965,0,98115,47.6777,-122.287
465250,5,2.0,178,703,1.5,0,3,7,0,1957,0,98177,47.7751,-122.38
450000,2,2.0,101,276,1.5,0,3,7,0,1912,2005,98117,47.6797,-122.36200000000001
493000,4,2.0,176,264,1.0,0,3,7,78,1910,0,98122,47.6101,-122.295
2250000,5,4.25,447,870,1.5,0,5,10,162,1905,0,98112,47.6196,-122.286
320000,3,1.5,114,112,2.0,0,3,8,17,2009,0,98133,47.7073,-122.35600000000001
715000,4,1.0,184,442,2.0,0,4,7,0,1911,0,98103,47.6583,-122.351
500000,2,1.0,118,497,1.0,0,3,7,0,1964,0,98117,47.6949,-122.37100000000001
408200,3,2.5,166,530,2.0,0,4,7,0,1990,0,98106,47.5293,-122.363
429950,4,1.0,162,664,1.0,0,3,7,62,1947,0,98133,47.7041,-122.355
650000,3,2.0,123,250,1.5,0,3,7,0,1913,0,98103,47.6518,-122.335
385200,4,1.0,143,712,1.5,0,3,6,0,1954,0,98126,47.5222,-122.375
419000,2,2.25,109,115,2.0,0,3,8,31,2008,0,98122,47.6124,-122.309
1100000,3,2.0,277,460,2.0,0,5,9,103,1931,0,98199,47.6347,-122.396
287500,3,1.0,167,662,1.0,0,4,7,63,1954,0,98133,47.7493,-122.351
431000,3,1.0,167,662,1.0,0,4,7,63,1954,0,98133,47.7493,-122.351
226000,3,1.0,89,460,1.0,0,3,6,0,1968,0,98118,47.5282,-122.279
825000,3,1.75,185,284,1.5,0,5,7,46,1926,0,98103,47.681999999999995,-122.348
595000,3,1.75,176,529,1.0,0,3,8,74,1941,0,98115,47.6898,-122.32700000000001
320000,3,1.0,123,476,1.0,0,3,7,37,1987,0,98133,47.7321,-122.34
456500,4,3.5,184,212,3.0,0,3,8,0,2008,0,98177,47.7027,-122.361
664000,4,2.0,141,375,1.5,0,4,7,0,1912,0,98105,47.6645,-122.325
438000,3,2.5,140,120,2.0,0,3,8,31,2006,0,98136,47.5446,-122.385
565000,3,1.0,84,480,1.0,0,3,7,0,1951,0,98115,47.6742,-122.28399999999999
910000,3,3.5,228,294,2.0,0,3,10,0,2010,0,98144,47.5951,-122.307
381156,2,1.0,121,284,1.0,0,4,7,0,1908,0,98118,47.5517,-122.27600000000001
642450,3,1.75,168,383,1.0,0,3,7,55,1919,0,98144,47.5962,-122.288
1095000,0,0.0,282,438,3.5,0,3,7,0,1990,0,98102,47.6362,-122.322
414900,3,1.5,116,880,1.0,0,3,7,36,1941,0,98115,47.7004,-122.305
200000,4,2.0,177,444,1.0,0,2,6,92,1914,0,98136,47.5507,-122.381
720000,3,1.75,188,368,2.0,0,5,7,63,1924,0,98105,47.6675,-122.289
930000,4,2.5,202,368,2.0,0,5,8,71,1908,0,98119,47.6402,-122.37
700000,5,3.25,221,287,2.0,0,4,7,57,1928,0,98122,47.6094,-122.291
466000,2,1.5,105,97,3.0,0,3,7,0,2005,0,98103,47.6608,-122.333
1010000,4,1.0,167,497,1.5,0,3,8,0,1923,2014,98102,47.6476,-122.318
340000,2,1.0,100,623,1.0,0,3,6,0,1954,0,98106,47.5185,-122.352
209000,3,2.0,113,123,2.0,0,3,7,19,2003,0,98106,47.526,-122.361
200000,1,1.5,93,106,2.0,0,3,8,6,2007,0,98126,47.5492,-122.37200000000001
530000,3,1.75,115,556,1.5,0,5,7,0,1942,0,98115,47.69,-122.304
550000,5,2.75,199,526,1.0,0,5,7,61,1950,0,98144,47.5728,-122.304
435000,3,1.0,129,442,1.0,0,4,6,64,1917,0,98136,47.5499,-122.391
384000,4,1.75,193,656,1.0,0,4,7,97,1955,0,98106,47.5353,-122.34899999999999
645000,3,1.75,190,506,1.0,0,4,7,86,1946,0,98115,47.6733,-122.301
570000,3,3.25,144,163,2.0,0,3,8,29,2007,0,98107,47.6655,-122.369
270000,2,1.0,92,949,1.0,0,3,6,0,1943,0,98106,47.527,-122.35600000000001
451000,3,1.75,144,373,1.5,0,3,7,52,1926,0,98126,47.5666,-122.375
420000,3,1.5,220,423,2.0,0,3,8,59,1920,1995,98118,47.5383,-122.26799999999999
359000,2,2.75,126,105,2.0,0,3,8,27,2009,0,98133,47.7052,-122.34299999999999
300000,3,2.5,121,240,2.0,0,3,7,0,2005,0,98118,47.5355,-122.28299999999999
891000,4,2.0,214,460,1.5,0,5,7,56,1925,0,98117,47.6804,-122.35799999999999
1200000,3,2.0,337,2062,1.0,0,4,9,168,1947,0,98117,47.6972,-122.4
299995,2,1.0,98,662,1.0,0,4,6,0,1951,0,98155,47.7463,-122.315
565000,4,3.0,186,396,1.5,0,3,6,0,1900,0,98107,47.6653,-122.37200000000001
315000,2,1.0,89,521,1.0,0,4,6,0,1908,0,98118,47.5513,-122.273
570000,4,3.0,137,622,1.5,0,5,7,0,1915,0,98136,47.5446,-122.382
971000,5,3.5,404,933,2.0,0,3,9,96,2005,0,98125,47.7174,-122.28200000000001
915000,5,2.5,253,514,1.5,0,5,9,84,1910,0,98112,47.6364,-122.3
435000,5,1.0,130,621,1.5,0,3,6,0,1929,0,98118,47.5453,-122.27799999999999
601000,3,1.75,122,620,1.0,0,3,8,0,1958,2002,98125,47.7012,-122.286
720000,3,2.5,186,107,3.0,0,3,8,0,2000,0,98103,47.6617,-122.35600000000001
550000,4,3.0,246,460,2.0,0,3,7,0,1916,1978,98126,47.5784,-122.37700000000001
700000,4,1.0,182,420,1.5,0,3,7,0,1920,0,98103,47.6606,-122.331
345500,3,1.0,124,789,1.0,0,5,6,0,1944,0,98177,47.7612,-122.36200000000001
378000,4,1.5,197,729,1.0,0,3,7,87,1959,0,98118,47.5491,-122.272
650000,4,2.0,203,460,3.0,0,5,8,0,1917,0,98116,47.5711,-122.383
